model,method,hyperparameter,seed,eval_index,step,forward_passes,dev_loss
opt-350m,MeZO,1e-6,0,7,2100,4200,0.698547
opt-350m,MeZO,1e-6,0,8,2400,4800,0.698678
opt-350m,MeZO,1e-6,0,9,2700,5400,0.695939
opt-350m,MeZO,1e-6,0,10,3000,6000,0.665751
opt-350m,MeZO,1e-6,0,11,3300,6600,0.684239
opt-350m,MeZO,1e-6,0,12,3600,7200,0.702122
opt-350m,MeZO,1e-6,0,13,3900,7800,0.710131
opt-350m,MeZO,1e-6,0,14,4200,8400,0.712367
opt-350m,MeZO,1e-6,1,1,300,600,0.852599
opt-350m,MeZO,1e-6,1,2,600,1200,0.832448
opt-350m,MeZO,1e-6,1,3,900,1800,0.815498
opt-350m,MeZO,1e-6,1,4,1200,2400,0.801300
opt-350m,MeZO,1e-6,1,5,1500,3000,0.768396
opt-350m,MeZO,1e-6,1,6,1800,3600,0.773842
opt-350m,MeZO,1e-6,1,7,2100,4200,0.766854
opt-350m,MeZO,1e-6,1,8,2400,4800,0.765399
opt-350m,MeZO,1e-6,1,9,2700,5400,0.743267
opt-350m,MeZO,1e-6,1,10,3000,6000,0.744243
opt-350m,MeZO,1e-6,1,11,3300,6600,0.774901
opt-350m,MeZO,1e-6,1,12,3600,7200,0.753552
opt-350m,MeZO,1e-6,1,13,3900,7800,0.769879
opt-350m,MeZO,1e-6,1,14,4200,8400,0.742895
opt-350m,MeZO,1e-6,2,1,300,600,0.832419
opt-350m,MeZO,1e-6,2,2,600,1200,0.808313
opt-350m,MeZO,1e-6,2,3,900,1800,0.753464
opt-350m,MeZO,1e-6,2,4,1200,2400,0.730908
opt-350m,MeZO,1e-6,2,5,1500,3000,0.714681
opt-350m,MeZO,1e-6,2,6,1800,3600,0.682690
opt-350m,MeZO,1e-6,2,7,2100,4200,0.655733
opt-350m,MeZO,1e-6,2,8,2400,4800,0.655791
opt-350m,MeZO,1e-6,2,9,2700,5400,0.639512
opt-350m,MeZO,1e-6,2,10,3000,6000,0.626730
opt-350m,MeZO,1e-6,2,11,3300,6600,0.624465
opt-350m,MeZO,1e-6,2,12,3600,7200,0.602525
opt-350m,MeZO,1e-6,2,13,3900,7800,0.586302
opt-350m,MeZO,1e-6,2,14,4200,8400,0.582012
opt-350m,MeZO,1e-7,0,1,300,600,0.894401
opt-350m,MeZO,1e-7,0,2,600,1200,0.877222
opt-350m,MeZO,1e-7,0,3,900,1800,0.860790
opt-350m,MeZO,1e-7,0,4,1200,2400,0.855511
opt-350m,MeZO,1e-7,0,5,1500,3000,0.840722
opt-350m,MeZO,1e-7,0,6,1800,3600,0.830275
opt-350m,MeZO,1e-7,0,7,2100,4200,0.819133
opt-350m,MeZO,1e-7,0,8,2400,4800,0.811477
opt-350m,MeZO,1e-7,0,9,2700,5400,0.803356
opt-350m,MeZO,1e-7,0,10,3000,6000,0.794677
opt-350m,MeZO,1e-7,0,11,3300,6600,0.789836
opt-350m,MeZO,1e-7,0,12,3600,7200,0.789024
opt-350m,MeZO,1e-7,0,13,3900,7800,0.788330
opt-350m,MeZO,1e-7,0,14,4200,8400,0.781747
opt-350m,MeZO,1e-7,1,1,300,600,0.935434
opt-350m,MeZO,1e-7,1,2,600,1200,0.923298
opt-350m,MeZO,1e-7,1,3,900,1800,0.911754
opt-350m,MeZO,1e-7,1,4,1200,2400,0.902897
opt-350m,MeZO,1e-7,1,5,1500,3000,0.892103
opt-350m,MeZO,1e-7,1,6,1800,3600,0.885780
opt-350m,MeZO,1e-7,1,7,2100,4200,0.879022
opt-350m,MeZO,1e-7,1,8,2400,4800,0.874055
opt-350m,MeZO,1e-7,1,9,2700,5400,0.867763
opt-350m,MeZO,1e-7,1,10,3000,6000,0.862930
opt-350m,MeZO,1e-7,1,11,3300,6600,0.858598
opt-350m,MeZO,1e-7,1,12,3600,7200,0.854672
opt-350m,MeZO,1e-7,1,13,3900,7800,0.852017
opt-350m,MeZO,1e-7,1,14,4200,8400,0.847222
opt-350m,MeZO,1e-7,2,1,300,600,0.881030
opt-350m,MeZO,1e-7,2,2,600,1200,0.874537
opt-350m,MeZO,1e-7,2,3,900,1800,0.860184
opt-350m,MeZO,1e-7,2,4,1200,2400,0.853289
opt-350m,MeZO,1e-7,2,5,1500,3000,0.848385
opt-350m,MeZO,1e-7,2,6,1800,3600,0.839048
opt-350m,MeZO,1e-7,2,7,2100,4200,0.826234
opt-350m,MeZO,1e-7,2,8,2400,4800,0.820072
